group,id,year,value,coverage,x,y,log,mean,PM2.5mean,popdensity,T,P,VP,long,lat,alt,longs,lats,alts,Ps,Ts,pds,VPs
ES1867A_2021,ES1867A,2021,77.375,97.81,75963.97434,4827656.745,4.348663731,14.245,7.766,91.01092,13.73333333,114.2666667,11.675,-8.2431,43.4815,5,-1.589955857,1.146564862,-1.012520278,1.629923274,-0.593658657,1.323517046,0.101662256
ES1868A_2021,ES1868A,2021,93.083,96.99,45923.63295,4762057.9,4.533491568,15.37,7.698,91.01092,14.45,151.3,11.96666667,-8.5591,42.876,220,-1.696478516,0.853993705,-0.34434945,2.779230843,-0.266578188,1.323517046,0.276525096
ES1901A_2021,ES1901A,2021,85.833,93.42,48297.61909,4763217.577,4.452403548,17.554,9.888,91.01092,14.45,151.3,11.96666667,-8.5311,42.8878,260,-1.687039799,0.859695339,-0.220038599,2.779230843,-0.266578188,1.323517046,0.276525096
ES1905A_2021,ES1905A,2021,89.917,98.08,129023.3764,4770640.099,4.498887023,16.864,10.805,91.01092,12.375,112.5833333,10.16666667,-7.5509,42.9979,450,-1.356617299,0.912894488,0.370437947,1.577682018,-1.213590239,1.323517046,-0.802628416
ES1957A_2021,ES1957A,2021,194.381,99.18,61814.81875,4817554.708,5.269820151,28.497,13.036,91.01092,13.73333333,114.2666667,11.675,-8.4092,43.3828,25,-1.645947672,1.098874072,-0.950364852,1.629923274,-0.593658657,1.323517046,0.101662256
ES1960A_2021,ES1960A,2021,72.958,81.37,75298.88003,4828825.198,4.289883933,14.916,NA,91.01092,13.73333333,114.2666667,11.675,-8.2522,43.4916,33,-1.59302344,1.151445074,-0.925502682,1.629923274,-0.593658657,1.323517046,0.101662256
ES2005A_2021,ES2005A,2021,74.417,95.89,-4668.278664,4774264.05,4.30968441,15.51,8.976,91.01092,14.825,146.9083333,12.41666667,-9.1861,42.9536,38,-1.907838348,0.891489199,-0.909963826,2.642938068,-0.095431431,1.323517046,0.546313474
ES2006A_2021,ES2006A,2021,73.458,95.07,1264.440149,4780004.635,4.296713814,13.633,NA,91.01092,14.825,146.9083333,12.41666667,-9.1189,43.0089,198,-1.885185429,0.918209571,-0.412720419,2.642938068,-0.095431431,1.323517046,0.546313474
ES2014A_2021,ES2014A,2021,98.458,97.81,135180.4564,4666028.865,4.589630061,17.285,5.674,91.01092,12.89166667,106.8583333,9.908333333,-7.4089,42.0616,760,-1.308749522,0.460484291,1.333847048,1.400010033,-0.97778804,1.323517046,-0.957506932
ES2039A_2021,ES2039A,2021,86.875,80,83741.60842,4831429.776,4.464470304,19.03,9.012,91.01092,13.73333333,114.2666667,11.675,-8.1502,43.5197,20,-1.558639544,1.165022695,-0.965903709,1.629923274,-0.593658657,1.323517046,0.101662256
ES2048A_2021,ES2048A,2021,74.542,81.1,59531.32609,4817101.201,4.311362725,17.241,NA,91.01092,13.73333333,114.2666667,11.675,-8.4369,43.3774,130,-1.65528526,1.09626485,-0.624048867,1.629923274,-0.593658657,1.323517046,0.101662256
ES2061A_2021,ES2061A,2021,78.083,97.26,35639.31617,4712521.238,4.357772363,19.086,9.424,91.01092,14.88333333,154.2583333,12.16666667,-8.644,42.4259,15,-1.725098053,0.636510175,-0.981442565,2.871040965,-0.068808604,1.323517046,0.396431041
ES2063A_2021,ES2063A,2021,81.304,96.99,28594.75159,4690285.541,4.398195216,17.595,NA,91.01092,14.88333333,154.2583333,12.16666667,-8.7111,42.2224,30,-1.747717263,0.53818114,-0.934825996,2.871040965,-0.068808604,1.323517046,0.396431041
ES2084A_2021,ES2084A,2021,79.333,98.63,81370.27596,4735308.465,4.373654183,11.795,NA,91.01092,12.375,112.5833333,10.16666667,-8.1071,42.6563,600,-1.544110662,0.747837003,0.836603641,1.577682018,-1.213590239,1.323517046,-0.802628416
ES2085A_2021,ES2085A,2021,98.292,98.63,108607.4142,4667351.38,4.58794264,16.946,6.543,91.01092,12.89166667,106.8583333,9.908333333,-7.7299,42.0607,620,-1.416957666,0.460049421,0.898759067,1.400010033,-0.97778804,1.323517046,-0.957506932
,,2021,NA,NA,154977.5913,4797353.618,NA,NA,NA,91.01092,12.18333333,93.43333333,10.525,-7.25,43.25,628,-1.255184805,1.034706525,0.923621237,0.983373109,-1.301065249,1.323517046,-0.587796932
,,2021,NA,NA,114381.3327,4799542.814,NA,NA,NA,91.01092,12.13333333,111.4833333,10.65,-7.75,43.25,467,-1.423733316,1.034706525,0.423270059,1.54354417,-1.323884817,1.323517046,-0.512855716
,,2021,NA,NA,73783.32408,4801976.544,NA,NA,NA,91.01092,13.73333333,114.2666667,11.675,-8.25,43.25,98,-1.592281827,1.034706525,-0.723497548,1.629923274,-0.593658657,1.323517046,0.101662256
,,2021,NA,NA,33183.40514,4804655.214,NA,NA,NA,91.01092,14.04166667,135.2333333,12,-8.75,43.25,193,-1.760830337,1.034706525,-0.428259275,2.280611356,-0.452937987,1.323517046,0.296509418
,,2021,NA,NA,152162.9931,4741818.719,NA,NA,NA,91.01092,11.66666667,95.675,9.641666667,-7.25,42.75,814,-1.255184805,0.793111846,1.501666698,1.052941907,-1.536867444,1.323517046,-1.117381526
,,2021,NA,NA,111234.0069,4744005.301,NA,NA,NA,91.01092,12.375,112.5833333,10.16666667,-7.75,42.75,604,-1.423733316,0.793111846,0.849034726,1.577682018,-1.213590239,1.323517046,-0.802628416
,,2021,NA,NA,70302.7375,4746436.155,NA,NA,NA,91.01092,13.075,143.7416667,10.88333333,-8.25,42.75,336,-1.592281827,0.793111846,0.01615202,2.544662445,-0.894116294,1.323517046,-0.372965448
,,2021,NA,NA,29368.96827,4749111.697,NA,NA,NA,91.01092,14.45,151.3,11.96666667,-8.75,42.75,408,-1.760830337,0.793111846,0.239911553,2.779230843,-0.266578188,1.323517046,0.276525096
,,2021,NA,NA,149374.9505,4686286.017,NA,NA,NA,91.01092,11.41666667,99.38333333,9.008333333,-7.25,42.25,1226,-1.255184805,0.551517166,2.78206847,1.168027836,-1.650965281,1.323517046,-1.497083688
,,2021,NA,NA,108116.3383,4688469.317,NA,NA,NA,91.01092,12.89166667,106.8583333,9.908333333,-7.75,42.25,482,-1.423733316,0.551517166,0.469886629,1.400010033,-0.97778804,1.323517046,-0.957506932
,,2021,NA,NA,66854.9021,4690896.554,NA,NA,NA,91.01092,13.16666667,141.325,10.625,-8.25,42.25,810,-1.592281827,0.551517166,1.489235613,2.469662625,-0.852280419,1.323517046,-0.527843959
NA,ES0012R,2021,NA,NA,664243.5016,4327681.269,NA,NA,NA,NA,16.59166667,42.575,12.325,-1.1011,39.0828,885,0.817591071,-0.978840172,1.72231846,-0.59498515,0.710859955,NA,0.49135658
ES1181A_2021,ES1181A,2021,70.667,97.81,719560.7221,4373278.079,4.257978703,19.29,11.564,218.1112019,18.68333333,38.86666667,14.25833333,-0.4472,39.4811,41,1.038018813,-0.78638585,-0.900640512,-0.710071079,1.665478526,1.883551811,1.650447387
NA,ES1182A,2021,NA,NA,743457.453,4316837.3,NA,NA,NA,NA,17.04166667,41,13.55833333,-0.19,38.9667,22,1.124720167,-1.034938456,-0.959688166,-0.643864342,0.916236063,NA,1.230776577
ES1239A_2021,ES1239A,2021,42.542,97.26,725783.3473,4370679.558,3.750491823,12.592,8.285,218.1112019,18.68333333,38.86666667,14.25833333,-0.3758,39.4561,11,1.062087541,-0.798465584,-0.99387365,-0.710071079,1.665478526,1.883551811,1.650447387
ES1386A_2021,ES1386A,2021,61.667,96.44,751168.9597,4433327.113,4.121748942,5.87,4.341,218.1112019,13.7,57.74166667,9.625,-0.0572,40.0128,106,1.169486652,-0.529474068,-0.698635378,-0.124296631,-0.6088717,1.883551811,-1.127373688
NA,ES1387A,2021,NA,NA,736309.0351,4427294.51,NA,NA,NA,NA,17.40833333,44.4,13.2,-0.2333,39.9628,163,1.110123866,-0.553633536,-0.521492414,-0.538347356,1.083579555,NA,1.015945093
NA,ES1441A,2021,NA,NA,745995.6944,4502552.878,NA,NA,NA,NA,13.35833333,55.11666667,9.283333333,-0.0911,40.6372,1150,1.158059063,-0.227770632,2.545877852,-0.205761952,-0.764805413,NA,-1.332213012
ES1445A_2021,ES1445A,2021,73.792,95.62,757072.5974,4430090.192,4.301250325,20.877,15.435,218.1112019,17.40833333,44.4,13.2,0.0106,39.9819,10,1.19234183,-0.544404619,-0.996981422,-0.538347356,1.083579555,1.883551811,1.015945093
NA,ES1542A,2021,NA,NA,785583.8799,4494795.016,NA,NA,NA,NA,15.2,55.63333333,10.625,0.3728,40.5547,181,1.314438371,-0.267633754,-0.465552531,-0.189727508,0.075715325,NA,-0.527843959
ES1543A_2021,ES1543A,2021,89.792,98.9,739023.303,4513194.82,4.497495884,12.627,6.37,218.1112019,13.35833333,55.11666667,9.283333333,-0.1694,40.735,619,1.131664366,-0.180514713,0.895651296,-0.205761952,-0.764805413,1.883551811,-1.332213012
NA,ES1617A,2021,NA,NA,719682.78,4336500.564,NA,NA,NA,NA,18.68333333,38.86666667,14.25833333,-0.4578,39.15,60,1.034445585,-0.946369847,-0.841592857,-0.710071079,1.665478526,NA,1.650447387
NA,ES1619A,2021,NA,NA,726357.3786,4373140.442,NA,NA,NA,NA,18.68333333,38.86666667,14.25833333,-0.3683,39.4781,11,1.064615768,-0.787835418,-0.99387365,-0.710071079,1.665478526,NA,1.650447387
NA,ES1623A,2021,NA,NA,720264.9738,4287242.175,NA,NA,NA,NA,17.04166667,41,13.55833333,-0.4669,38.7064,534,1.031378002,-1.160712646,0.631490736,-0.643864342,0.916236063,NA,1.230776577
NA,ES1624A,2021,NA,NA,702786.0947,4235227.176,NA,NA,NA,NA,18.1,29.975,13.91666667,-0.6828,38.2422,44,0.958598755,-1.385009147,-0.891317198,-0.986018689,1.39925024,NA,1.445608067
NA,ES1625A,2021,NA,NA,721999.5757,4376491.547,NA,NA,NA,NA,17.40833333,44.4,13.2,-0.4178,39.5094,25,1.047929466,-0.772711591,-0.950364852,-0.538347356,1.083579555,NA,1.015945093
NA,ES1635A,2021,NA,NA,720889.4357,4248717.81,NA,NA,NA,NA,18.1,29.975,13.91666667,-0.4719,38.3594,45,1.029692517,-1.328379354,-0.888209426,-0.986018689,1.39925024,NA,1.445608067
ES1670A_2021,ES1670A,2021,53.364,90.41,647643.6038,4380178.455,3.977136361,10.204,6.998,218.1112019,14.81666667,49.60833333,11.225,-1.2814,39.5586,804,0.756812478,-0.748938675,1.470588985,-0.376709815,-0.099234691,1.883551811,-0.168126122
ES1671A_2021,ES1671A,2021,114,97.81,685862.2228,4397607.228,4.736198448,11.858,5.983,218.1112019,14.81666667,49.60833333,11.225,-0.8319,39.7081,430,0.908337589,-0.676701865,0.308282521,-0.376709815,-0.099234691,1.883551811,-0.168126122
ES1685A_2021,ES1685A,2021,75.167,93.42,739721.3621,4437302.352,4.319712305,22.966,5.31,218.1112019,13.7,57.74166667,9.625,-0.1897,40.0519,160,1.124821296,-0.510581364,-0.530815728,-0.124296631,-0.6088717,1.883551811,-1.127373688
ES1687A_2021,ES1687A,2021,49.958,87.67,762076.9319,4439186.352,3.911182652,7.879,4.722,218.1112019,17.04166667,49.21666667,11.89166667,0.0728,40.0622,50,1.213309265,-0.505604513,-0.87267057,-0.388864958,0.916236063,1.883551811,0.231560366
ES1688A_2021,ES1688A,2021,20.833,96.44,750943.919,4419916.715,3.036538268,6.516,5.159,218.1112019,17.40833333,44.4,13.2,-0.065,39.8922,37,1.166857295,-0.587746704,-0.913071597,-0.538347356,1.083579555,1.883551811,1.015945093
NA,ES1689A,2021,NA,NA,715946.4097,4436844.179,NA,NA,NA,NA,13.7,57.74166667,9.625,-0.4683,40.0542,466,1.030906066,-0.509470028,0.420162288,-0.124296631,-0.6088717,NA,-1.127373688
ES1691A_2021,ES1691A,2021,50.542,93.97,704799.1908,4422804.767,3.922804674,10.004,6.664,218.1112019,14.81666667,49.60833333,11.225,-0.6033,39.9306,616,0.985397968,-0.569192233,0.886327982,-0.376709815,-0.099234691,1.883551811,-0.168126122
NA,ES1765A,2021,NA,NA,733353.4168,4396302.841,NA,NA,NA,NA,17.40833333,44.4,13.2,-0.2789,39.6847,54,1.094752242,-0.688008496,-0.860239485,-0.538347356,1.083579555,NA,1.015945093
NA,ES1826A,2021,NA,NA,718170.6731,4381048.437,NA,NA,NA,NA,17.40833333,44.4,13.2,-0.4608,39.5514,122,1.033434294,-0.752417638,-0.648911037,-0.538347356,1.083579555,NA,1.015945093
NA,ES1834A,2021,NA,NA,753912.3745,4430762.033,NA,NA,NA,NA,17.40833333,44.4,13.2,-0.0261,39.9889,18,1.179970369,-0.541022293,-0.972119251,-0.538347356,1.083579555,NA,1.015945093
NA,ES1847A,2021,NA,NA,706156.6079,4256845.447,NA,NA,NA,NA,18.1,29.975,13.91666667,-0.638,38.4361,310,0.973700702,-1.29131873,-0.064650034,-0.986018689,1.39925024,NA,1.445608067
NA,ES1849A,2021,NA,NA,699702.4421,4237038.293,NA,NA,NA,NA,18.1,29.975,13.91666667,-0.7175,38.2592,99,0.946901488,-1.376794928,-0.720389777,-0.986018689,1.39925024,NA,1.445608067
ES1877A_2021,ES1877A,2021,40.292,95.34,751484.8257,4425835.817,3.696152938,9.75,7.017,218.1112019,17.40833333,44.4,13.2,-0.0564,39.9453,27,1.169756329,-0.562089349,-0.94414931,-0.538347356,1.083579555,1.883551811,1.015945093
ES1884A_2021,ES1884A,2021,50.875,96.71,734647.8581,4390731.152,3.929371644,13.069,8.607,218.1112019,17.40833333,44.4,13.2,-0.2658,39.6342,3,1.099168213,-0.712409559,-1.018735821,-0.538347356,1.083579555,1.883551811,1.015945093
ES1885A_2021,ES1885A,2021,42,91.51,729094.3132,4373465.33,3.737669618,11.375,8.325,218.1112019,18.68333333,38.86666667,14.25833333,-0.3364,39.4803,7,1.075369163,-0.786772401,-1.006304736,-0.710071079,1.665478526,1.883551811,1.650447387
NA,ES1886A,2021,NA,NA,690746.0084,4366528.599,NA,NA,NA,NA,16.59166667,42.575,12.325,-0.7839,39.4272,400,0.924518246,-0.812429756,0.215049382,-0.59498515,0.710859955,NA,0.49135658
ES1911A_2021,ES1911A,2021,46.167,87.4,728328.0489,4398440.722,3.832265257,5.736,3.146,218.1112019,17.40833333,44.4,13.2,-0.3367,39.7053,320,1.075268034,-0.678054796,-0.033572321,-0.538347356,1.083579555,1.883551811,1.015945093
ES1912A_2021,ES1912A,2021,51.667,89.04,728618.4412,4370918.193,3.94481928,13.325,7.221,218.1112019,18.68333333,38.86666667,14.25833333,-0.3428,39.4575,7,1.073211742,-0.797789119,-1.006304736,-0.710071079,1.665478526,1.883551811,1.650447387
NA,ES1913A,2021,NA,NA,668874.0293,4257707.951,NA,NA,NA,NA,18.1,29.975,13.91666667,-1.0647,38.4517,642,0.829861403,-1.283780976,0.967130035,-0.986018689,1.39925024,NA,1.445608067
ES1914A_2021,ES1914A,2021,81.875,90.96,691678.2229,4258552.633,4.405193694,12.661,8.887,218.1112019,18.1,29.975,13.91666667,-0.8033,38.4547,355,0.917978564,-1.282331408,0.075199674,-0.986018689,1.39925024,1.883551811,1.445608067
NA,ES1918A,2021,NA,NA,752514.4393,4451398.751,NA,NA,NA,NA,13.7,57.74166667,9.625,-0.0344,40.175,305,1.177172464,-0.451100754,-0.08018889,-0.124296631,-0.6088717,NA,-1.127373688
ES1926A_2021,ES1926A,2021,58,100,722906.8636,4373373.658,4.060443011,16.672,14.88,218.1112019,18.68333333,38.86666667,14.25833333,-0.4083,39.4811,11,1.051131888,-0.78638585,-0.99387365,-0.710071079,1.665478526,1.883551811,1.650447387
ES1968A_2021,ES1968A,2021,180.125,93.15,717244.0204,4247696.92,5.193651054,17.99,5.173,218.1112019,18.1,29.975,13.91666667,-0.5139,38.3511,20,1.015534442,-1.332389826,-0.965903709,-0.986018689,1.39925024,1.883551811,1.445608067
NA,ES1970A,2021,NA,NA,724029.311,4369984.319,NA,NA,NA,NA,18.68333333,38.86666667,14.25833333,-0.3964,39.4503,15,1.055143342,-0.801268082,-0.981442565,-0.710071079,1.665478526,NA,1.650447387
ES2018A_2021,ES2018A,2021,24.167,95.62,726147.1072,4406920.076,3.184988066,5.661,4.303,218.1112019,17.40833333,44.4,13.2,-0.3592,39.7822,200,1.067683351,-0.640897534,-0.406504876,-0.538347356,1.083579555,1.883551811,1.015945093
,,2021,NA,NA,776429.4132,4460573.938,NA,NA,NA,NA,17.04166667,49.21666667,11.89166667,0.25,40.25,79,1.273042857,-0.414861552,-0.782545203,-0.388864958,0.916236063,NA,0.231560366
,,2021,NA,NA,733895.8755,4459133.65,NA,NA,NA,NA,13.7,57.74166667,9.625,-0.25,40.25,897,1.104494346,-0.414861552,1.759611715,-0.124296631,-0.6088717,NA,-1.127373688
,,2021,NA,NA,649927.1073,4401474.594,NA,NA,NA,NA,13.43333333,49.1,10.09166667,-1.25,39.75,882,0.767397324,-0.656456231,1.712995146,-0.392485639,-0.730576062,NA,-0.847593146
,,2021,NA,NA,692767.0306,4402431.207,NA,NA,NA,NA,14.81666667,49.60833333,11.225,-0.75,39.75,535,0.935945835,-0.656456231,0.634598507,-0.376709815,-0.099234691,NA,-0.168126122
,,2021,NA,NA,735609.654,4403627.323,NA,NA,NA,NA,17.40833333,44.4,13.2,-0.25,39.75,32,1.104494346,-0.656456231,-0.928610453,-0.538347356,1.083579555,NA,1.015945093
,,2021,NA,NA,694154.0284,4346932.638,NA,NA,NA,NA,16.59166667,42.575,12.325,-0.75,39.25,361,0.935945835,-0.898050911,0.093846302,-0.59498515,0.710859955,NA,0.49135658
,,2021,NA,NA,695526.1906,4291438.113,NA,NA,NA,NA,15.80833333,43.63333333,12.10833333,-0.75,38.75,860,0.935945835,-1.13964559,1.644624177,-0.562140402,0.353353395,NA,0.36145847
,,2021,NA,NA,738983.0819,4292625.735,NA,NA,NA,NA,17.04166667,41,13.55833333,-0.25,38.75,853,1.104494346,-1.13964559,1.622869778,-0.643864342,0.916236063,NA,1.230776577
,,2021,NA,NA,696883.4153,4235947.615,NA,NA,NA,NA,18.1,29.975,13.91666667,-0.75,38.25,76,0.935945835,-1.38124027,-0.791868516,-0.986018689,1.39925024,NA,1.445608067
ES0651A_2021,ES0651A,2021,81.792,95.62,684199.6783,4163849.068,4.404179439,18.894,NA,134.5921,18.575,25.01666667,14.9,-0.9133,37.6033,60,0.880897892,-1.693718828,-0.841592857,-1.139897628,1.616036132,1.515546328,2.035145632
ES1423A_2021,ES1423A,2021,103.875,88.77,670626.9497,4173582.531,4.643188253,25.262,11.027,134.5921,18.31666667,25.525,13.83333333,-1.0647,37.6936,80,0.829861403,-1.650086829,-0.779437431,-1.124121804,1.498135034,1.515546328,1.395647252
ES1569A_2021,ES1569A,2021,127.917,96.71,614522.5217,4172092.455,4.851381616,23.223,10.629,134.5921,18.31666667,25.525,13.83333333,-1.7011,37.6889,340,0.615332858,-1.652357819,0.028583105,-1.124121804,1.498135034,1.515546328,1.395647252
ES1627A_2021,ES1627A,2021,111.708,99.18,655388.5404,4204584.271,4.715888324,23.17,NA,134.5921,18.31666667,25.525,13.83333333,-1.2308,37.9756,80,0.773869587,-1.51382743,-0.779437431,-1.124121804,1.498135034,1.515546328,1.395647252
ES1633A_2021,ES1633A,2021,88.875,96.16,662911.502,4206728.9,4.487230888,31.416,12.951,134.5921,18.31666667,25.525,13.83333333,-1.1447,37.9936,40,0.802893641,-1.505130021,-0.903748283,-1.124121804,1.498135034,1.515546328,1.395647252
ES1882A_2021,ES1882A,2021,154.125,99.18,599180.5322,4219145.817,5.037763961,14.874,NA,134.5921,16.21666667,32.65,11.81666667,-1.8686,38.1147,1,0.558869107,-1.44661579,-1.024951363,-0.903001648,0.539713199,1.515546328,0.186595636
ES1921A_2021,ES1921A,2021,83.792,98.08,678726.6228,4163706.992,4.428337538,26.594,7.889,134.5921,18.575,25.01666667,14.9,-0.9753,37.6031,10,0.859997876,-1.693815466,-0.996981422,-1.139897628,1.616036132,1.515546328,2.035145632
ES2007A_2021,ES2007A,2021,76.583,98.36,683087.4998,4160616.018,4.33837512,19.119,NA,134.5921,18.575,25.01666667,14.9,-0.9267,37.5744,10,0.876380792,-1.707683001,-0.996981422,-1.139897628,1.616036132,1.515546328,2.035145632
,,2021,NA,NA,609375.0928,4234292.336,NA,NA,NA,134.5921,16.21666667,32.65,11.81666667,-1.75,38.25,344,0.598848814,-1.38124027,0.04101419,-0.903001648,0.539713199,1.515546328,0.186595636
,,2021,NA,NA,653127.8801,4235001.643,NA,NA,NA,134.5921,17.25,32.34166667,12.65833333,-1.25,38.25,715,0.767397324,-1.38124027,1.19399734,-0.91257059,1.011317593,1.515546328,0.691199821
,,2021,NA,NA,610120.3877,4178813.069,NA,NA,NA,134.5921,16.1,33.33333333,12.00833333,-1.75,37.75,480,0.598848814,-1.622834949,0.463671086,-0.881794803,0.48646754,1.515546328,0.301505497
,,2021,NA,NA,654171.5115,4179519.281,NA,NA,NA,134.5921,18.31666667,25.525,13.83333333,-1.25,37.75,184,0.767397324,-1.622834949,-0.456229217,-1.124121804,1.498135034,1.515546328,1.395647252
NA,ES0008R,2021,NA,NA,350286.5398,4811251.291,NA,NA,NA,94.88806,11,91.15,9.483333333,-4.85,43.4392,134,-0.446151953,1.126125952,-0.611617781,0.912511211,-1.841128345,1.340600668,-1.212307067
ES0824A_2021,ES0824A,2021,54.167,93.15,280558.6981,4798451.745,3.992071867,25.473,NA,94.88806,12.16666667,80.6,10.28333333,-5.7057,43.3069,218,-0.734605875,1.0622,-0.350564993,0.585098208,-1.308671769,1.340600668,-0.732683285
ES0825A_2021,ES0825A,2021,78.292,96.99,281855.6934,4798387.592,4.360445427,17.354,8.992,94.88806,12.16666667,80.6,10.28333333,-5.6897,43.3067,206,-0.729212322,1.062103362,-0.387858248,0.585098208,-1.308671769,1.340600668,-0.732683285
ES0879A_2021,ES0879A,2021,68.333,97.53,265829.8216,4826010.979,4.224392812,19.388,NA,94.88806,14.55833333,77.63333333,12.38333333,-5.8989,43.5503,8,-0.799733019,1.17980829,-1.003196964,0.493029465,-0.217135793,1.340600668,0.526329145
ES0880A_2021,ES0880A,2021,83.875,99.73,264153.0566,4826169.774,4.429327595,18.481,8.363,94.88806,14.55833333,77.63333333,12.38333333,-5.9197,43.5512,6,-0.806744637,1.18024316,-1.009412507,0.493029465,-0.217135793,1.340600668,0.526329145
ES1268A_2021,ES1268A,2021,55.958,99.18,267720.9021,4804595.447,4.024601409,22.232,NA,94.88806,12.16666667,80.6,10.28333333,-5.8664,43.3583,267,-0.788777366,1.087035933,-0.198284199,0.585098208,-1.308671769,1.340600668,-0.732683285
ES1269A_2021,ES1269A,2021,77.958,97.81,270458.5491,4805413.663,4.35617022,22.719,13.317,94.88806,12.16666667,80.6,10.28333333,-5.833,43.3665,180,-0.777518325,1.090998086,-0.468660302,0.585098208,-1.308671769,1.340600668,-0.732683285
NA,ES1270A,2021,NA,NA,285212.3563,4823683.959,NA,NA,NA,94.88806,14.55833333,77.63333333,12.38333333,-5.6583,43.5352,18,-0.718627476,1.17251213,-0.972119251,0.493029465,-0.217135793,1.340600668,0.526329145
ES1271A_2021,ES1271A,2021,133.625,98.63,281944.779,4824189.511,4.895037369,38.293,9.836,94.88806,14.55833333,77.63333333,12.38333333,-5.6989,43.5388,19,-0.732313615,1.174251612,-0.96901148,0.493029465,-0.217135793,1.340600668,0.526329145
ES1272A_2021,ES1272A,2021,95.833,98.08,283965.2347,4823134.706,4.562607093,29.281,11.248,94.88806,14.55833333,77.63333333,12.38333333,-5.6735,43.5299,29,-0.72375135,1.169951227,-0.937933767,0.493029465,-0.217135793,1.340600668,0.526329145
ES1320A_2021,ES1320A,2021,182.625,85.48,263648.715,4829301.246,5.20743487,43.505,NA,94.88806,14.55833333,77.63333333,12.38333333,-5.9273,43.5792,6,-0.809306575,1.193772462,-1.009412507,0.493029465,-0.217135793,1.340600668,0.526329145
ES1353A_2021,ES1353A,2021,73.583,94.25,282629.9585,4796961.87,4.298414021,17.158,10.082,94.88806,12.16666667,80.6,10.28333333,-5.6796,43.2941,216,-0.725807642,1.056015176,-0.356780535,0.585098208,-1.308671769,1.340600668,-0.732683285
ES1358A_2021,ES1358A,2021,126.25,96.44,286207.3321,4823941.275,4.838264068,22.459,NA,94.88806,14.55833333,77.63333333,12.38333333,-5.6461,43.5378,19,-0.714514892,1.173768423,-0.96901148,0.493029465,-0.217135793,1.340600668,0.526329145
ES1424A_2021,ES1424A,2021,81.167,96.44,263553.0972,4827047.159,4.396508761,24.975,NA,94.88806,14.55833333,77.63333333,12.38333333,-5.9275,43.5589,12,-0.809373994,1.183963718,-0.990765879,0.493029465,-0.217135793,1.340600668,0.526329145
ES1432A_2021,ES1432A,2021,88.864,96.71,211254.3436,4786800.291,4.487107111,16.166,7.401,94.88806,11.70833333,89.15,10.025,-6.5527,43.1788,363,-1.020127052,1.000303443,0.100061845,0.850442395,-1.517851141,1.340600668,-0.887561797
ES1433A_2021,ES1433A,2021,47.045,92.88,289348.3795,4794704.089,3.85110459,15.401,NA,94.88806,12.16666667,80.6,10.28333333,-5.596,43.2757,262,-0.697626331,1.047124492,-0.213823056,0.585098208,-1.308671769,1.340600668,-0.732683285
ES1572A_2021,ES1572A,2021,77.458,97.53,267257.3604,4806212.612,4.349735854,17.758,7.544,94.88806,12.16666667,80.6,10.28333333,-5.8728,43.3727,276,-0.790934787,1.09399386,-0.170314258,0.585098208,-1.308671769,1.340600668,-0.732683285
ES1651A_2021,ES1651A,2021,57.083,98.08,274677.4309,4792996.767,4.044506349,23.404,NA,94.88806,12.16666667,80.6,10.28333333,-5.7759,43.2561,205,-0.758270086,1.03765398,-0.39096602,0.585098208,-1.308671769,1.340600668,-0.732683285
ES1974A_2021,ES1974A,2021,96.083,100,284144.0491,4821650.27,4.565212401,23.398,9.369,94.88806,14.55833333,77.63333333,12.38333333,-5.6707,43.5166,51,-0.722807479,1.163524808,-0.869562799,0.493029465,-0.217135793,1.340600668,0.526329145
ES2051A_2021,ES2051A,2021,68.125,98.63,273036.3126,4809218.177,4.221344253,21.535,12.12,94.88806,12.16666667,80.6,10.28333333,-5.8028,43.4015,170,-0.767337995,1.107909713,-0.499738015,0.585098208,-1.308671769,1.340600668,-0.732683285
ES2054A_2021,ES2054A,2021,83.292,92.6,261111.2306,4828423.665,4.422352506,21.185,8.034,94.88806,14.55833333,77.63333333,12.38333333,-5.9583,43.5705,8,-0.819756582,1.189568715,-1.003196964,0.493029465,-0.217135793,1.340600668,0.526329145
ES2069A_2021,ES2069A,2021,87.667,98.63,282647.1377,4822398.957,4.473545546,19.849,10.582,94.88806,14.55833333,77.63333333,12.38333333,-5.6895,43.5229,40,-0.729144903,1.166568901,-0.903748283,0.493029465,-0.217135793,1.340600668,0.526329145
ES2075A_2021,ES2075A,2021,58.375,98.63,259299.706,4803489.011,4.066887716,19.934,NA,94.88806,12.16666667,80.6,10.28333333,-5.9697,43.3457,89,-0.823599488,1.080947747,-0.75146749,0.585098208,-1.308671769,1.340600668,-0.732683285
,,2021,NA,NA,317348.5427,4791035.443,NA,NA,NA,94.88806,11.43333333,84.9,9.758333333,-5.25,43.25,751,-0.580990762,1.034706525,1.305877106,0.718546162,-1.643358762,1.340600668,-1.047436391
,,2021,NA,NA,236165.5309,4793707.398,NA,NA,NA,94.88806,11.25833333,89.3,9.733333333,-6.25,43.25,780,-0.918087783,1.034706525,1.396002474,0.855097557,-1.723227248,1.340600668,-1.062424634
,,2021,NA,NA,195572.2665,4795408.587,NA,NA,NA,94.88806,11.70833333,89.15,10.025,-6.75,43.25,767,-1.086636294,1.034706525,1.355601447,0.850442395,-1.517851141,1.340600668,-0.887561797
