long,lat,alt,x,y,pre_value,meanTem,meanPre,popdensity,mean
-4.816666667,42.65,1058.03,351086.7309,4723548.838,92.82952182,12.07,648.16,11.8,14.11978261
-4.65,42.65,1007.88,364748.8305,4723268.726,88.57365033,12.07,648.16,11.8,14.11978261
-4.483333333,42.65,969.97,378410.8346,4723015.564,85.33175588,12.07,648.16,11.8,14.11978261
-4.316666667,42.65,912.9475,392072.7527,4722789.347,80.49393709,12.07,648.16,11.8,14.11978261
-4.15,42.65,984.5325,405734.5944,4722590.07,86.47373695,12.07,648.16,11.8,14.11978261
-3.983333333,42.65,979.46,419396.3694,4722417.731,85.99926071,12.07,648.16,11.8,14.11978261
-3.816666667,42.65,965.795,433058.0872,4722272.325,84.80225965,12.07,648.16,11.8,14.11978261
-3.65,42.65,990.195,446719.7575,4722153.85,86.80191314,12.07,648.16,11.8,14.11978261
-3.483333333,42.65,755.095,460381.39,4722062.303,66.9630048,12.07,648.16,11.8,14.11978261
-3.316666667,42.65,754.6325,474042.9944,4721997.683,66.8699064,12.07,648.16,11.8,14.11978261
-3.15,42.65,788.16,487704.5804,4721959.988,69.63861154,12.07,648.16,11.8,14.11978261
-2.983333333,42.65,566.5975,501366.1576,4721949.218,50.96590048,12.07,648.16,11.8,14.11978261
-6.816666667,42.48333333,601.3325,186295.3195,4710504.569,55.29004551,12.07,648.16,11.8,14.11978261
-6.65,42.48333333,823.3075,199995.8918,4709900.791,73.92586058,12.07,648.16,11.8,14.11978261
-6.483333333,42.48333333,1143.1425,213696.2411,4709324.048,100.6947137,12.07,648.16,11.8,14.11978261
-6.316666667,42.48333333,1237.275,227396.3773,4708774.33,108.4630322,12.07,648.16,11.8,14.11978261
-6.15,42.48333333,991.8625,241096.3102,4708251.626,87.62539805,12.07,648.16,11.8,14.11978261
-5.983333333,42.48333333,890.44,254796.0496,4707755.925,78.90461628,12.07,648.16,11.8,14.11978261
-5.816666667,42.48333333,851.345,268495.6056,4707287.218,75.46190925,12.07,648.16,11.8,14.11978261
-5.65,42.48333333,846.395,282194.988,4706845.497,74.93605667,12.07,648.16,11.8,14.11978261
-5.483333333,42.48333333,793.9575,295894.2069,4706430.753,70.46502618,12.07,648.16,11.8,14.11978261
-5.316666667,42.48333333,849.41,309593.2723,4706042.976,75.13264979,12.07,648.16,11.8,14.11978261
-5.15,42.48333333,899.0625,323292.1944,4705682.162,79.35371051,12.07,648.16,11.8,14.11978261
-4.983333333,42.48333333,896.265,336990.9834,4705348.301,79.1580698,12.07,648.16,11.8,14.11978261
-4.816666667,42.48333333,936.5125,350689.6494,4705041.388,82.55818765,12.07,648.16,11.8,14.11978261
-4.65,42.48333333,906.7775,364388.2026,4704761.417,80.0694412,12.07,648.16,11.8,14.11978261
-4.483333333,42.48333333,877.8675,378086.6533,4704508.382,77.60776706,12.07,648.16,11.8,14.11978261
-4.316666667,42.48333333,839.245,391785.0117,4704282.279,74.33512265,12.07,648.16,11.8,14.11978261
-4.15,42.48333333,834.925,405483.2883,4704083.103,73.95673419,12.07,648.16,11.8,14.11978261
-3.983333333,42.48333333,888.545,419181.4932,4703910.85,78.44433578,12.07,648.16,11.8,14.11978261
-3.816666667,42.48333333,952.8775,432879.6369,4703765.518,83.82535807,12.07,648.16,11.8,14.11978261
-3.65,42.48333333,909.89,446577.7296,4703647.102,80.16880957,12.07,648.16,11.8,14.11978261
-3.483333333,42.48333333,928.11,460275.7818,4703555.601,81.64615549,12.07,648.16,11.8,14.11978261
-3.316666667,42.48333333,870.905,473973.8039,4703491.014,76.78131648,12.07,648.16,11.8,14.11978261
-3.15,42.48333333,770.1275,487671.8062,4703453.338,68.25774026,12.07,648.16,11.8,14.11978261
-6.65,42.31666667,1285.0425,199199.7101,4691391.244,112.7942304,12.07,648.16,11.8,14.11978261
-6.483333333,42.31666667,1366.7375,212936.5197,4690814.806,119.5137864,12.07,648.16,11.8,14.11978261
-6.316666667,42.31666667,1285.62,226673.1015,4690265.378,112.5309681,12.07,648.16,11.8,14.11978261
-6.15,42.31666667,964.0325,240409.4659,4689742.95,85.31293629,12.07,648.16,11.8,14.11978261
-5.983333333,42.31666667,818.5675,254145.6236,4689247.513,72.91539396,12.07,648.16,11.8,14.11978261
-5.816666667,42.31666667,787.0425,267881.5851,4688779.056,70.13203631,12.07,648.16,11.8,14.11978261
-5.65,42.31666667,792.4225,281617.3612,4688337.569,70.47932252,12.07,648.16,11.8,14.11978261
-5.483333333,42.31666667,793.905,295352.9627,4687923.046,70.51465028,12.07,648.16,11.8,14.11978261
-5.316666667,42.31666667,830.3225,309088.4002,4687535.477,73.53844184,12.07,648.16,11.8,14.11978261
-5.15,42.31666667,810.2375,322823.6846,4687174.855,71.85649283,12.07,648.16,11.8,14.11978261
-4.983333333,42.31666667,823.9975,336558.8267,4686841.173,73.03099947,12.07,648.16,11.8,14.11978261
-4.816666667,42.31666667,857.0175,350293.8375,4686534.424,75.82837358,12.07,648.16,11.8,14.11978261
-4.65,42.31666667,831.035,364028.7279,4686254.603,73.66365275,12.07,648.16,11.8,14.11978261
-4.483333333,42.31666667,811.8,377763.5088,4686001.705,72.07161236,12.07,648.16,11.8,14.11978261
-4.316666667,42.31666667,794.27,391498.1912,4685775.723,70.60428643,12.07,648.16,11.8,14.11978261
-4.15,42.31666667,819.3675,405232.7861,4685576.654,72.70416697,12.07,648.16,11.8,14.11978261
-3.983333333,42.31666667,884.5025,418967.3045,4685404.494,78.18450668,12.07,648.16,11.8,14.11978261
-3.816666667,42.31666667,868.5375,432701.7576,4685259.239,76.83016464,12.07,648.16,11.8,14.11978261
-3.65,42.31666667,921.1025,446436.1562,4685140.888,81.2321131,12.07,648.16,11.8,14.11978261
-3.483333333,42.31666667,1021.545,460170.5116,4685049.436,89.64239506,12.07,648.16,11.8,14.11978261
-3.316666667,42.31666667,1198.775,473904.8348,4684984.884,104.5112236,12.07,648.16,11.8,14.11978261
-3.15,42.31666667,1249.26,487639.137,4684947.229,108.7177961,12.07,648.16,11.8,14.11978261
-6.816666667,42.15,1627.86,184632.6743,4673485.141,141.7245751,12.07,648.16,11.8,14.11978261
-6.65,42.15,1316.9125,198406.0819,4672882.019,115.4520149,12.07,648.16,11.8,14.11978261
-6.483333333,42.15,1270.2,212179.2356,4672305.904,111.3624069,12.07,648.16,11.8,14.11978261
-6.316666667,42.15,1063.195,225952.1467,4671756.786,93.78424953,12.07,648.16,11.8,14.11978261
-6.15,42.15,881.7325,239724.8264,4671234.653,78.35553053,12.07,648.16,11.8,14.11978261
-5.983333333,42.15,817.335,253497.286,4670739.495,72.78192398,12.07,648.16,11.8,14.11978261
-5.816666667,42.15,763.4375,267269.5368,4670271.302,68.15398562,12.07,648.16,11.8,14.11978261
-5.65,42.15,753.135,281041.5902,4669830.066,67.190201,12.07,648.16,11.8,14.11978261
-5.483333333,42.15,770.545,294813.4577,4669415.778,68.5533598,12.07,648.16,11.8,14.11978261
-5.316666667,42.15,769.5175,308585.1508,4669028.429,68.43617138,12.07,648.16,11.8,14.11978261
-5.15,42.15,772.3675,322356.6809,4668668.012,68.65758344,12.07,648.16,11.8,14.11978261
-4.983333333,42.15,793.1075,336128.0596,4668334.52,70.41582165,12.07,648.16,11.8,14.11978261
-4.816666667,42.15,778.9325,349899.2986,4668027.947,69.24175054,12.07,648.16,11.8,14.11978261
-4.65,42.15,789.2925,363670.4095,4667748.285,70.13528448,12.07,648.16,11.8,14.11978261
-4.483333333,42.15,797.8025,377441.4038,4667495.531,70.87815663,12.07,648.16,11.8,14.11978261
