group,id,year,value,coverage,long,lat,alt,x,y,logmax,mean,PM2.5mean,popdensity,Temperature,Precipitation,Vapour Pressure,logmean,Ts,Ps,longs,lats,alts,pds,VPs
ES1673A_2020,ES1673A,2020,61.292,98.91,-2.6614,42.8436,50,527668.6364,4743502.675,4.115649329,11.921,7.304,302.3942494,13.00833333,66.03333333,10.175,2.478301551,-0.924544561,0.133030283,0.29161846,0.838339034,-0.872670659,0.409921954,-0.797629646
ES1673A_2021,ES1673A,2021,114.833,96.44,-2.6614,42.8436,50,527668.6364,4743502.675,4.743478899,14.409,10.016,300.9774675,12.4,66.53333333,9.925,2.667853011,-1.202182693,0.148547486,0.29161846,0.838339034,-0.872670659,0.403679268,-0.947512117
ES1684A_2017,ES1684A,2017,52.998,97.26,2.0425,41.4921,171,920979.1108,4605677.124,3.970254177,22.024,13.999,232.4531357,17.11666667,40.75,13.3,3.092132768,0.950463663,-0.651622948,1.877289138,0.185308584,-0.496630322,0.10174438,1.075901237
ES1684A_2018,ES1684A,2018,48.542,99.45,2.0425,41.4921,171,920979.1108,4605677.124,3.882429403,19.574,12.862,234.4015071,17.35,72.70833333,13.39166667,2.974202155,1.056955,0.340184943,1.877289138,0.185308584,-0.496630322,0.110329379,1.130858145
ES1684A_2019,ES1684A,2019,96.25,96.44,2.0425,41.4921,171,920979.1108,4605677.124,4.566948973,21.043,12.664,236.9493056,17.275,49.21666667,13.23333333,3.046567963,1.022725641,-0.388864977,1.877289138,0.185308584,-0.496630322,0.1215556,1.035932576
ES1684A_2020,ES1684A,2020,72.727,99.18,2.0425,41.4921,171,920979.1108,4605677.124,4.286712705,18.633,11.094,238.5813041,17.375,53.58333333,13.33333333,2.924934202,1.068364787,-0.253348071,1.877289138,0.185308584,-0.496630322,0.128746582,1.095885565
ES1684A_2021,ES1684A,2021,113.333,97.26,2.0425,41.4921,171,920979.1108,4605677.124,4.730330388,21.068,10.826,239.1296631,16.83333333,49.31666667,13.19166667,3.047755302,0.821152748,-0.385761537,1.877289138,0.185308584,-0.496630322,0.131162786,1.010952169
ES1685A_2017,ES1685A,2017,60.542,86.58,-0.1897,40.0519,160,739721.3621,4437302.352,4.103337339,25.075,7.449,212.457966,14.01666667,41.11666667,9.708333333,3.221871334,-0.464349842,-0.640243666,1.124821167,-0.510580764,-0.530815807,0.013640795,-1.077410259
ES1685A_2018,ES1685A,2018,55.522,92.6,-0.1897,40.0519,160,739721.3621,4437302.352,4.016779339,25.218,8.405,213.313266,13.70833333,71.79166667,9.766666667,3.227558025,-0.605070543,0.311736738,1.124821167,-0.510580764,-0.530815807,0.017409455,-1.042437682
ES1685A_2019,ES1685A,2019,70.625,97.53,-0.1897,40.0519,160,739721.3621,4437302.352,4.257384189,29.203,6.531,215.1004085,13.825,49.53333333,9.65,3.374271444,-0.551824872,-0.379037416,1.124821167,-0.510580764,-0.530815807,0.02528404,-1.112382835
ES1685A_2020,ES1685A,2020,81.917,91.8,-0.1897,40.0519,160,739721.3621,4437302.352,4.40570654,21.685,6.134,216.6497527,14.06666667,57.725,9.733333333,3.076620777,-0.44153027,-0.124813907,1.124821167,-0.510580764,-0.530815807,0.032110828,-1.062422011
ES1685A_2021,ES1685A,2021,75.167,93.42,-0.1897,40.0519,160,739721.3621,4437302.352,4.319712305,22.966,5.31,218.1112019,13.7,57.74166667,9.625,3.134014861,-0.608873804,-0.124296666,1.124821167,-0.510580764,-0.530815807,0.038550329,-1.127371082
ES1687A_2017,ES1687A,2017,39.333,99.18,0.0728,40.0622,50,762076.9319,4439186.352,3.672063861,7.17,5.035,212.457966,17.33333333,33.975,11.96666667,1.969905655,1.049348475,-0.861881049,1.213309135,-0.505603913,-0.872670659,0.013640795,0.276528062
ES1687A_2018,ES1687A,2018,44.783,82.74,0.0728,40.0622,50,762076.9319,4439186.352,3.801828603,10.438,6.598,213.313266,17.03333333,61.69166667,12.025,2.345452993,0.912431039,-0.001710763,1.213309135,-0.505603913,-0.872670659,0.017409455,0.311500637
ES1687A_2019,ES1687A,2019,58.167,94.52,0.0728,40.0622,50,762076.9319,4439186.352,4.063318184,11.179,6.714,215.1004085,17.15,43.69166667,11.925,2.414037018,0.96567671,-0.56033007,1.213309135,-0.505603913,-0.872670659,0.02528404,0.251547648
ES1687A_2020,ES1687A,2020,44.083,98.36,0.0728,40.0622,50,762076.9319,4439186.352,3.786074221,6.818,4.663,216.6497527,17.4,48.54166667,11.99166667,1.919566174,1.079774573,-0.409813201,1.213309135,-0.505603913,-0.872670659,0.032110828,0.291516309
ES1687A_2021,ES1687A,2021,49.958,87.67,0.0728,40.0622,50,762076.9319,4439186.352,3.911182652,7.879,4.722,218.1112019,17.04166667,49.21666667,11.89166667,2.064200992,0.916234304,-0.388864977,1.213309135,-0.505603913,-0.872670659,0.038550329,0.231563321
